											
											
#		Español	Español LATAM	Japonés	Inglés	Francés	Alemán	Italiano	Coreano	Chino simplificado	Chino tradicional
777		Decoración	Decoración	デコレーション	Decorate	Nappage	Verzierung	Decorazione	데코레이션	装饰	裝飾
778		Batería asalto	Batería asalto	ドラムアタック	Drum Beating	Tambour Battant	Trommelschläge	Tamburattacco	드럼어택	鼓击	鼓擊
779		Cepo	Trampa presión	トラバサミ	Snap Trap	Troquenard	Fangeisen	Tagliola	집게덫	捕兽夹	捕獸夾
780		Balón ígneo	Balón ígneo	かえんボール	Pyro Ball	Ballon Brûlant	Feuerball	Palla Infuocata	화염볼	火焰球	火焰球
781		Tajo supremo	Corte supremo	きょじゅうざん	Behemoth Blade	Gladius Maximus	Gigantenhieb	Taglio Maestoso	거수참	巨兽斩	巨獸斬
782		Embate supremo	Golpe supremo	きょじゅうだん	Behemoth Bash	Aegis Maxima	Gigantenstoß	Colpo Maestoso	거수탄	巨兽弹	巨獸彈
783		Rueda aural	Rueda aural	オーラぐるま	Aura Wheel	Roue Libre	Aura-Rad	Ruota d’Aura	오라휠	气场轮	氣場輪
784		Vasto impacto	Vasto impacto	ワイドブレイカー	Breaking Swipe	Abattage	Breitseite	Vastoimpatto	와이드브레이커	广域破坏	廣域破壞
785		Punzada rama	Ramazo punzante	えだづき	Branch Poke	Tapotige	Zweigstoß	Ramostoccata	가지찌르기	木枝突刺	木枝突刺
786		Amplificador	Amplificador	オーバードライブ	Overdrive	Overdrive	Overdrive	Overdrive	오버드라이브	破音	破音
787		Ácido málico	Ácido málico	りんごさん	Apple Acid	Acide Malique	Apfelsäure	Acido Malico	사과산	苹果酸	蘋果酸
788		Fuerza G	Fuerza G	Ｇのちから	Grav Apple	Force G	Gravitation	Forza G	G의힘	万有引力	萬有引力
789		Choque anímico	Choque anímico	ソウルクラッシュ	Spirit Break	Choc Émotionnel	Seelenbruch	Frantumanima	소울크래시	灵魂冲击	靈魂衝擊
790		Cautivapor	Cautivapor	ワンダースチーム	Strange Steam	Vapeur Féérique	Wunderdampf	Vapore Incantato	원더스팀	神奇蒸汽	神奇蒸汽
791		Gota vital	Gota vital	いのちのしずく	Life Dew	Fontaine de Vie	Lebenstropfen	Goccia Vitale	생명의물방울	生命水滴	生命水滴
792		Obstrucción	Obstrucción	ブロッキング	Obstruct	Blocage	Abblocker	Sbarramento	블로킹	拦堵	攔堵
793		Irreverencia	Irreverencia	どげざつき	False Surrender	Fourbette	Kniefalltrick	Supplicolpo	사죄의찌르기	假跪真撞	假跪真撞
794		Asalto estelar	Asalto estelar	スターアサルト	Meteor Assault	Joute Astrale	Sternensturm	Sfolgorassalto	스타어설트	流星突击	流星突擊
795		Rayo infinito	Rayo infinito	ムゲンダイビーム	Eternabeam	Laser Infinimax	Unendynastrahlen	Raggio Infinito	무한다이빔	无极光束	無極光束
796		Metaláser	Metaláser	てっていこうせん	Steel Beam	Métalaser	Stahlstrahl	Raggio d’Acciaio	철제광선	铁蹄光线	鐵蹄光線
797		Vasta fuerza	Vasta fuerza	ワイドフォース	Expanding Force	Vaste Pouvoir	Flächenmacht	Vastenergia	와이드포스	广域战力	廣域戰力
798		Allanador férreo	Ferroaplanadora	アイアンローラー	Steel Roller	Métalliroue	Eisenwalze	Ferrorullo	아이언롤러	铁滚轮	鐵滾輪
799		Ráfaga escamas	Disparo de escamas	スケイルショット	Scale Shot	Rafale Écailles	Schuppenschuss	Squamacolpo	스케일샷	鳞射	鱗射
800		Rayo meteórico	Rayo meteórico	メテオビーム	Meteor Beam	Laser Météore	Meteorstrahl	Raggiometeora	메테오빔	流星光束	流星光束
801		Moluscañón	Moluscañón	シェルアームズ	Shell Side Arm	Kokiyarme	Muschelwaffe	Armaguscio	셸암즈	臂贝武器	臂貝武器
802		Bruma explosiva	Bruma explosiva	ミストバースト	Misty Explosion	Explo-Brume	Nebelexplosion	Nebbioscoppio	미스트버스트	薄雾炸裂	薄霧炸裂
803		Fitoimpulso	Fitoimpulso	グラススライダー	Grassy Glide	Gliss’Herbe	Grasrutsche	Erboscivolata	그래스슬라이더	青草滑梯	青草滑梯
804		Alto voltaje	Alto voltaje	ライジングボルト	Rising Voltage	Monte-Tension	Hochspannung	Elettroimpennata	라이징볼트	电力上升	電力上升
805		Pulso de campo	Pulso de campo	だいちのはどう	Terrain Pulse	Champlification	Feldimpuls	Campopulsar	대지의파동	大地波动	大地波動
806		Golpe rastrero	Golpe rastrero	はいよるいちげき	Skitter Smack	Ravage Rampant	Krabbelkracher	Strisciacolpo	엄습하는일격	爬击	爬擊
807		Envidia ardiente	Envidia ardiente	しっとのほのお	Burning Jealousy	Feu Envieux	Neidflammen	Fiamminvidia	질투의불꽃	妒火	妒火
808		Desahogo	Desahogo	うっぷんばらし	Lash Out	Cent Rancunes	Frustventil	Sfogarabbia	분풀이	泄愤	洩憤
809		Poltergeist	Poltergeist	ポルターガイスト	Poltergeist	Esprit Frappeur	Poltergeist	Poltergeist	폴터가이스트	灵骚	靈騷
810		Gas corrosivo	Gas corrosivo	ふしょくガス	Corrosive Gas	Gaz Corrosif	Korrosionsgas	Gas Corrosivo	부식가스	腐蚀气体	腐蝕氣體
811		Motivación	Motivación	コーチング	Coaching	Coaching	Coaching	Coaching	코칭	指导	指導
812		Viraje	Viraje	クイックターン	Flip Turn	Eau Revoir	Rollwende	Virata	퀵턴	快速折返	快速折返
813		Triple axel	Triple axel	トリプルアクセル	Triple Axel	Triple Axel	Dreifach-Axel	Triplo Axel	트리플악셀	三旋击	三旋擊
814		Ala bis	Aletazo doble	ダブルウイング	Dual Wingbeat	Double Volée	Doppelflügel	Doppia Ala	더블윙	双翼	雙翼
815		Arenas ardientes	Arenas ardientes	ねっさのだいち	Scorching Sands	Sable Ardent	Brandsand	Sabbiardente	열사의대지	热沙大地	熱沙大地
816		Cura selvática	Selva sanadora	ジャングルヒール	Jungle Healing	Selve Salvatrice	Dschungelheilung	Giunglacura	정글힐	丛林治疗	叢林治療
817		Golpe oscuro	Golpe oscuro	あんこくきょうだ	Wicked Blow	Poing Obscur	Finstertreffer	Pugnotenebra	암흑강타	暗冥强击	暗冥強擊
818		Azote torrencial	Golpe torrencial	すいりゅうれんだ	Surging Strikes	Torrent de Coups	Trefferschwall	Idroraffica	수류연타	水流连打	水流連打
819		Electrojaula	Electrojaula	サンダープリズン	Thunder Cage	Voltageôle	Blitzgefängnis	Elettrogabbia	썬더프리즌	雷电囚笼	雷電囚籠
820		Dracoenergía	Dracoenergía	ドラゴンエナジー	Dragon Energy	Draco-Énergie	Drachenkräfte	Dragoenergia	드래곤에너지	巨龙威能	巨龍威能
821		Mirada heladora	Mirada glacial	いてつくしせん	Freezing Glare	Regard Glaçant	Eisiger Blick	Sguardo Gelido	얼어붙는시선	冰冷视线	冰冷視線
822		Furia candente	Furia candente	もえあがるいかり	Fiery Wrath	Fureur Ardente	Brennender Zorn	Furia Ardente	타오르는분노	怒火中烧	怒火中燒
823		Patada relámpago	Patada relámpago	らいめいげり	Thunderous Kick	Coup Fulgurant	Donnernder Tritt	Calcio Tonante	천둥차기	雷鸣蹴击	雷鳴蹴擊
824		Lanza glacial	Lanza glacial	ブリザードランス	Glacial Lance	Lance de Glace	Blizzardlanze	Lancia Glaciale	블리자드랜스	雪矛	雪矛
825		Orbes espectro	Orbes espectro	アストラルビット	Astral Barrage	Éclat Spectral	Astralfragmente	Schegge Astrali	아스트랄비트	星碎	星碎
826		Conjuro funesto	Conjuro funesto	ぶきみなじゅもん	Eerie Spell	Sort Sinistre	Schauderspruch	Inquietantesimo	섬뜩한주문	诡异咒语	詭異咒語
827		Garra nociva	Garra nociva	フェイタルクロー	Dire Claw	Griffes Funestes	Unheilsklauen	Artigli Fatali	페이탈클로	克命爪	剋命爪
828		Asalto barrera	Asalto barrera	バリアーラッシュ	Psyshield Bash	Sprint Bouclier	Barrierenstoß	Barrierassalto	배리어러시	屏障猛攻	屏障猛攻
829		Cambiapoder	Cambiapoder	パワーシフト	Power Shift	Échange Force	Kraftwechsel	Scambioforza	파워시프트	力量转换	力量轉換
830		Hachazo pétreo	Hachazo pétreo	がんせきアックス	Stone Axe	Hache de Pierre	Felsaxt	Rocciascure	암석액스	岩斧	岩斧
831		Ciclón primavera	Ciclón primavera	はるのあらし	Springtide Storm	Typhon Passionné	Frühlingsorkan	Tempesta Zefirea	봄의폭풍	阳春风暴	陽春風暴
832		Poder místico	Poder místico	しんぴのちから	Mystical Power	Force Mystique	Mythenkraft	Forza Mistica	신비의힘	神秘之力	神秘之力
833		Erupción de ira	Erupción de ira	だいふんげき	Raging Fury	Grand Courroux	Flammenwut	Ira Furente	대격분	大愤慨	大憤慨
834		Envite acuático	Acuatacleada	ウェーブタックル	Wave Crash	Aquatacle	Wellentackle	Ondaschianto	웨이브태클	波动冲	波動衝
835		Clorofiláser	Clorofiláser	クロロブラスト	Chloroblast	Herblast	Chlorostrahl	Clorofillaser	클로로블라스트	叶绿爆震	葉綠爆震
836		Viento carámbano	Viento carámbano	ひょうざんおろし	Mountain Gale	Bise Glaciaire	Frostfallwind	Soffio d’Iceberg	빙산바람	冰山风	冰山風
837		Danza triunfal	Danza triunfal	しょうりのまい	Victory Dance	Danse Victoire	Siegestanz	Danzavittoria	승리의춤	胜利之舞	勝利之舞
838		Arremetida	Asalto frontal	ぶちかまし	Headlong Rush	Assaut Frontal	Schmetterramme	Scontro Frontale	들이받기	突飞猛扑	突飛猛撲
839		Mil púas tóxicas	Mil púas tóxicas	どくばりセンボン	Barb Barrage	Multitoxik	Giftstachelregen	Mille Fielespine	독침천발	毒千针	毒千針
840		Ala aural	Ala aural	オーラウイング	Esper Wing	Ailes Psycho	Auraschwingen	Ali d’Aura	오라윙	气场之翼	氣場之翼
841		Rencor reprimido	Rencor reprimido	うらみつらみ	Bitter Malice	Cœur de Rancœur	Niedertracht	Livore	천추지한	冤冤相报	冤冤相報
842		Retracción	Retracción	たてこもる	Shelter	Mur Fumigène	Refugium	Barricata	농성	闭关	閉關
843		Triple flecha	Triple flecha	３ぼんのや	Triple Arrows	Triple Flèche	Drillingspfeile	Triplodardo	3연화살	三连箭	三連箭
844		Marcha espectral	Marcha espectral	ひゃっきやこう	Infernal Parade	Cortège Funèbre	Phantomparade	Corteo Spettrale	백귀야행	群魔乱舞	群魔亂舞
845		Tajo metralla	Corte metralla	ひけん・ちえなみ	Ceaseless Edge	Vagues à Lames	Klingenschwall	Lama Milleflutti	비검천중파	秘剑・千重涛	秘劍・千重濤
846		Vendaval gélido	Vendaval gélido	こがらしあらし	Bleakwind Storm	Typhon Hivernal	Polarorkan	Tempesta Boreale	찬바람폭풍	枯叶风暴	枯葉風暴
847		Electormenta	Electormenta	かみなりあらし	Wildbolt Storm	Typhon Fulgurant	Donnerorkan	Tempesta Tonante	번개폭풍	鸣雷风暴	鳴雷風暴
848		Simún de arena	Tifón de arena	ねっさのあらし	Sandsear Storm	Typhon Pyrosable	Wüstenorkan	Tempesta Ardente	열사의폭풍	热沙风暴	熱沙風暴
849		Plegaria lunar	Plegaria lunar	みかづきのいのり	Lunar Blessing	Prière Lunaire	Lunargebet	Invocaluna	초승달의기도	新月祈祷	新月祈禱
850		Bálsamo osado	Bálsamo osado	ブレイブチャージ	Take Heart	Extravaillance	Mutschub	Baldimpulso	브레이브차지	勇气填充	勇氣填充
851		Teraexplosión	Teraexplosión	テラバースト	Tera Blast	Téra Explosion	Tera-Ausbruch	Terascoppio	테라버스트	太晶爆发	太晶爆發
852		Telatrampa	Telatrampa	スレッドトラップ	Silk Trap	Piège de Fil	Fadenfalle	Telatrappola	스레드트랩	线阱	線阱
853		Patada hacha	Patada hacha	かかとおとし	Axe Kick	Talon-Marteau	Fersenkick	Calcio ad Ascia	발꿈치찍기	下压踢	下壓踢
854		Homenaje póstumo	Homenaje póstumo	おはかまいり	Last Respects	Hommage Posthume	Letzte Ehre	Omaggio ai KO	성묘	扫墓	掃墓
855		Fotocolisión	Fotocolisión	ルミナコリジョン	Lumina Crash	Lumino-Impact	Lichteinschlag	Fotocollisione	루미나콜리전	琉光冲激	琉光衝激
856		Oído cocina	Emplatar	いっちょうあがり	Order Up	Plat du Jour	Auftischen	Alta Cucina	한판내기	上菜	上菜
857		Puño jet	Puño jet	ジェットパンチ	Jet Punch	Poing Sonique	Düsenhieb	Pugnojet	제트펀치	喷射拳	噴射拳
858		Extracto picante	Extracto picante	ハバネロエキス	Spicy Extract	Habanerage	Chili-Essenz	Essenza Piccante	하바네로엑기스	辣椒精华	辣椒精華
859		Quemarrueda	Quemarrueda	ホイールスピン	Spin Out	Dérapage	Reifendrehung	Slittaruote	휠스핀	疾速转轮	疾速轉輪
860		Proliferación	Proliferación	ネズミざん	Population Bomb	Prolifération	Mäuseplage	Infestazione	찍찍베기	鼠数儿	鼠數兒
861		Pirueta helada	Pirueta helada	アイススピナー	Ice Spinner	Cryo-Pirouette	Eiskreisel	Vortighiaccio	아이스스피너	冰旋	冰旋
862		Asalto espadón	Asalto espadón	きょけんとつげき	Glaive Rush	Charge Glaive	Großklingenstoß	Spadoncarica	대검돌격	巨剑突击	巨劍突擊
863		Plegaria vital	Plegaria vital	さいきのいのり	Revival Blessing	Second Souffle	Vitalsegen	Preghiera Vitale	회생의기도	复生祈祷	復生祈禱
864		Salazón	Salación	しおづけ	Salt Cure	Salaison	Pökelsalz	Sotto Sale	소금절이	盐腌	鹽醃
865		Triple inmersión	Triple inmersión	トリプルダイブ	Triple Dive	Triple Plongeon	Tauchtriade	Triplo Tuffo	트리플다이브	三连钻	三連鑽
866		Giro mortífero	Giro mortífero	キラースピン	Mortal Spin	Toupie Éclat	Letalwirbler	Glitturbine	킬러스핀	晶光转转	晶光轉轉
867		Decalcomanía	Plagio	うつしえ	Doodle	Décalquage	Abpausen	Ricalco	베껴그리기	描绘	描繪
868		Deslome	Fileteo	みをけずる	Fillet Away	Décharnement	Abspaltung	Alleggerimento	제살깎기	甩肉	甩肉
869		Genufendiente	Genufendiente	ドゲザン	Kowtow Cleave	Génusection	Kniefallspalter	Genufendente	도각참	仆刀	仆斬
870		Truco floral	Truco floral	トリックフラワー	Flower Trick	Magie Florale	Blumentrick	Prestigiafiore	트릭플라워	千变万花	千變萬花
871		Canto ardiente	Canto ígneo	フレアソング	Torch Song	Chant Flamboyant	Loderlied	Canzone Ardente	플레어송	闪焰高歌	閃焰高歌
872		Danza acuática	Danza acuática	アクアステップ	Aqua Step	Danse Aquatique	Wogentanz	Idroballetto	아쿠아스텝	流水旋舞	流水旋舞
873		Furia taurina	Furia taurina	レイジングブル	Raging Bull	Taurogne	Rasender Stier	Scatenatoro	레이징불	怒牛	怒牛
874		Fiebre dorada	Fiebre dorada	ゴールドラッシュ	Make It Rain	Ruée d’Or	Goldrausch	Corsa all’Oro	골드러시	淘金潮	淘金潮
875		Psicohojas	Psicohojas	サイコブレイド	Psyblade	Lame Psychique	Psychoschneide	Psicolama	사이코블레이드	精神剑	精神劍
876		Hidrovapor	Hidrovapor	ハイドロスチーム	Hydro Steam	Hydrovapeur	Hydrodampf	Idrovapore	하이드로스팀	水蒸气	水蒸氣
877		Calamidad	Calamidad	カタストロフィ	Ruination	Cataclysme	Verderben	Catastrofe	카타스트로피	大灾难	大災難
878		Nitrochoque	Nitrochoque	アクセルブレイク	Collision Course	Nitro Crash	Kollisionskurs	Turboschianto	액셀브레이크	全开猛撞	全開猛撞
879		Electroderrape	Electroderrape	イナズマドライブ	Electro Drift	Turbo Volt	Blitztour	Fulmiscatto	라이트닝드라이브	闪电猛冲	閃電猛衝
880		Autotomía	Autotomía	しっぽきり	Shed Tail	Queulonage	Schwanzabwurf	Tagliacoda	꼬리자르기	断尾	斷尾
881		Fría acogida	Respuesta fría	さむいギャグ	Chilly Reception	Neigeux de Mots	Eisige Stimmung	Freddura	썰렁개그	冷笑话	冷笑話
882		Limpieza general	Limpieza general	おかたづけ	Tidy Up	Grand Nettoyage	Aufräumen	Pulizie	정리정돈	大扫除	大掃除
883		Paisaje nevado	Paisaje nevado	ゆきげしき	Snowscape	Chute de Neige	Schneelandschaft	Vista Innevata	설경	雪景	雪景
884		Brinco	Brinco	とびつく	Pounce	Bond	Anspringen	Balzo	달려들기	虫扑	蟲撲
885		Abrecaminos	Abrecaminos	くさわけ	Trailblaze	Désherbaffe	Wegbereiter	Apripista	개척하기	起草	起草
886		Agua fría	Agua fría	ひやみず	Chilling Water	Douche Froide	Kalte Dusche	Doccia Fredda	찬물끼얹기	泼冷水	潑冷水
887		Hipertaladro	Hipertaladro	ハイパードリル	Hyper Drill	Hyperceuse	Hyperbohrer	Ipertrapano	하이퍼드릴	强力钻	強力鑽
888		Láser doble	Láser doble	ツインビーム	Twin Beam	Double Laser	Doppelstrahl	Doppioraggio	트윈빔	双光束	雙光束
889		Puño furia	Puño furia	ふんどのこぶし	Rage Fist	Poing de Colère	Zornesfaust	Pugno Furibondo	분노의주먹	愤怒之拳	憤怒之拳
890		Cañón armadura	Cañón armadura	アーマーキャノン	Armor Cannon	Canon Blindé	Rüstungskanone	Corazza Cannone	아머캐논	铠农炮	鎧農炮
891		Espada lamento	Espada lamento	むねんのつるぎ	Bitter Blade	Lame en Peine	Reueschwert	Lama del Rimorso	원념의칼	悔念剑	悔念劍
892		Electropalmas	Electropalmas	でんこうそうげき	Double Shock	Double Décharge	Zweifachladung	Doppiolampo	전광쌍격	电光双击	電光雙擊
893		Martillo colosal	Martillo colosal	デカハンマー	Gigaton Hammer	Marteau Mastoc	Riesenhammer	Granmartello	거대해머	巨力锤	巨力錘
894		Resarcimiento	Resarcimiento	ほうふく	Comeuppance	Vindicte	Vendetta	Ritorsione	앙갚음	复仇	復仇
895		Tajo acuático	Corte acuático	アクアカッター	Aqua Cutter	Tranch’Aqua	Aquaschnitt	Idrotaglio	아쿠아커터	水波刀	水波刀
896		Pirochoque	Pirochoque	バーンアクセル	Blazing Torque	Crash Brûlant	Hitzeturbo	Turboustione	번액셀	灼热暴冲	灼熱暴衝
897		Ominochoque	Ominochoque	ダークアクセル	Wicked Torque	Crash Obscur	Finsterturbo	Turbotenebra	다크액셀	黑暗暴冲	黑暗暴衝
898		Ponzochoque	Ponzochoque	ポイズンアクセル	Noxious Torque	Crash Toxique	Toxiturbo	Turbotossina	포이즌액셀	剧毒暴冲	劇毒暴衝
899		Pugnachoque	Pugnachoque	ファイトアクセル	Combat Torque	Crash Musclé	Raufturbo	Turborissa	파이트액셀	格斗暴冲	格鬥暴衝
900		Feerichoque	Feerichoque	マジカルアクセル	Magical Torque	Crash Magique	Zauberturbo	Turboincanto	매지컬액셀	魔法暴冲	魔法暴衝
901		Luna roja	Luna roja	ブラッドムーン	Blood Moon	Lune Rouge	Blutmond	Luna Rossa	블러드문	血月	血月
902		Cañón batidor	Cañón batidor	シャカシャカほう	Matcha Gotcha	Mortier Matcha	Quirlschuss	Spruzzatè	휘적휘적포	刷刷茶炮	刷刷茶炮
903		Bomba caramelo	Bomba caramelo	みずあめボム	Syrup Bomb	Bombe au Sirop	Sirupbombe	Bomba Sciroppata	시럽봄	糖浆炸弹	糖漿炸彈
904		Garrote liana	Garrote liana	ツタこんぼう	Ivy Cudgel	Massue Liane	Rankenkeule	Clava di Liane	덩굴방망이	棘藤棒	棘藤棒
905		Electrorrayo	Electrorrayo	エレクトロビーム	Electro Shot	Fulgurayon	Stromstrahl	Elettroraggio	일렉트로빔	电光束	電光束
906		Teraclúster	Teraclúster	テラクラスター	Tera Starstorm	Pluie Térastrale	Tera-Sternhagel	Teracluster	테라클러스터	晶光星群	晶光星群
907		Láser veleidoso	Láser caprichoso	きまぐレーザー	Fickle Beam	Laser Hasard	Launenlaser	Irregolaser	변덕레이저	随机光	隨機光
908		Llama protectora	Llama protectora	かえんのまもり	Burning Bulwark	Rempart Brûlant	Flammenschild	Egida Ignea	화염의수호	火焰守护	火焰守護
909		Relámpago súbito	Relámpago súbito	じんらい	Thunderclap	Vif Éclair	Sturmblitz	Saetta	질풍신뢰	迅雷	迅雷
910		Filo potente	Corte potente	パワフルエッジ	Mighty Cleave	Lame Puissante	Wuchtklinge	Taglio Poderoso	파워풀에지	强刃攻击	強刃攻擊
911		Tajo taquión	Corte taquión	タキオンカッター	Tachyon Cutter	Lame Tachyonique	Tachyon-Schnitt	Tachiontaglio	타키온커터	迅子利刃	迅子利刃
912		Prensa metálica	Prensa metálica	ハードプレス	Hard Press	Pression Extrême	Stahlpresse	Pressa d’Acciaio	하드프레스	硬压	硬壓
913		Bramido dragón	Bramido dragón	ドラゴンエール	Dragon Cheer	Cri Draconique	Drachenschrei	Grido del Drago	드래곤옐	龙声鼓舞	龍聲鼓舞
914		Canto encantador	Canto encantador	みわくのボイス	Alluring Voice	Voix Envoûtante	Lockstimme	Ammaliavoce	매혹의보이스	魅诱之声	魅誘之聲
915		Cólera ardiente	Furia ardiente	やけっぱち	Temper Flare	Indignition	Frustflamme	Rabbia Bruciante	열불내기	豁出去	豁出去
916		Plancha voltaica	Golpe voltaico	サンダーダイブ	Supercell Slam	Volt Assaut	Donnerstoß	Elettrotuffo	썬더다이브	闪电强袭	閃電強襲
917		Psicorruido	Psicorruido	サイコノイズ	Psychic Noise	Dissonance Psy	Psycholärm	Psicorumore	사이코노이즈	精神噪音	精神噪音
918		Palma rauda	Palma rauda	はやてがえし	Upper Hand	Prio-Parade	Schnellkonter	Colpo di Mano	기선제압	快手还击	快手還擊
919		Cadena virulenta	Cadena virulenta	じゃどくのくさり	Malignant Chain	Chaîne Malsaine	Giftkettung	Intossicatena	악독사슬	邪毒锁链	邪毒鎖鏈
920		Luz devastadora	Luz devastadora	無に帰す光	Nihil Light	Lux Nihilum	Tilgungslicht	Tabula Laser	니힐레이저	归无之光	归无之光
